antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Kiseijuu: Sei no Kakuritsu'}),frozenset({'Shingeki no Kyojin'}),0.16315028180956656,0.4055730127853426,0.1362827738706835,0.8353204932232753,2.059605710662472,1.0,0.07011342254039991,3.6095990257038584,0.614770088280701,0.3151480199923107,0.7229609181299566,0.5856728726672251
frozenset({'Accel World'}),frozenset({'Sword Art Online'}),0.1406553942840042,0.3967280163599182,0.11709644703809001,0.8325059101654846,2.0984298457264017,1.0,0.061294511473474846,3.6017508691567324,0.6091307373830005,0.27861070453736303,0.7223572544777016,0.5638306937467269
frozenset({'Tokyo Ghoul √A'}),frozenset({'Shingeki no Kyojin'}),0.14038937935391624,0.4055730127853426,0.11641478377973964,0.8292278540975841,2.0445834115113306,1.0,0.05947664023210746,3.4808193342861093,0.5943421339388926,0.2710171853228054,0.7127113176630602,0.5581328251384863
frozenset({'Tonari no Totoro'}),frozenset({'Sen to Chihiro no Kamikakushi'}),0.1704823183201157,0.3170399188654463,0.14132043160922406,0.8289448020284766,2.6146385760976867,1.0,0.08727073124102139,3.9926298015699615,0.7444542473835185,0.40820246842433844,0.7495385122841128,0.6373472240254083
frozenset({'Log Horizon'}),frozenset({'Sword Art Online'}),0.15289208106804994,0.3967280163599182,0.12624071025986333,0.8256850804697695,2.081237135823285,1.0,0.06558413822059607,3.4608166946688668,0.6132826031341413,0.298173964264677,0.7110508622024315,0.5719448786809496
frozenset({'Btooom!'}),frozenset({'Sword Art Online'}),0.16049013250868704,0.3967280163599182,0.13056345287379253,0.8135294727027866,2.050597485317849,1.0,0.0668925209582807,3.2352135878209483,0.6102813964993898,0.3060166783571039,0.6909013971242802,0.5713150674217143
frozenset({'Akame ga Kill!'}),frozenset({'Shingeki no Kyojin'}),0.17029943305568024,0.4055730127853426,0.1384108933113871,0.8127501708483843,2.003955256457234,1.0,0.0693420391713591,3.1745128415222825,0.6038164639471147,0.31639556096077837,0.6849910364449912,0.5770113074460008
frozenset({'Howl no Ugoku Shiro'}),frozenset({'Sen to Chihiro no Kamikakushi'}),0.23716893610653897,0.3170399188654463,0.19254493158428518,0.8118471784086927,2.560709646009106,1.0,0.11735291132366385,3.6298157814397967,0.7989753986530272,0.5323863375166645,0.7245039252093003,0.7095839804152122
frozenset({'Death Parade'}),frozenset({'Shingeki no Kyojin'}),0.14524415182802133,0.4055730127853426,0.11724608043626449,0.8072344322344324,1.9903553904896452,1.0,0.05833897218992215,3.0836782424627383,0.5821278263644977,0.2704195106986732,0.6757119513216905,0.5481609563812155
frozenset({'Nisekoi'}),frozenset({'Sword Art Online'}),0.13899280097095448,0.3967280163599182,0.11200891150015795,0.8058612440191388,2.031268805800819,1.0,0.05686657328264226,3.1074268535003604,0.5896546116288057,0.26435157936040804,0.6781903333063014,0.5440964924311602
frozenset({'Akame ga Kill!'}),frozenset({'Sword Art Online'}),0.17029943305568024,0.3967280163599182,0.13703094086155584,0.8046470760519379,2.02820835149174,1.0,0.06946838459815714,3.0881134075089234,0.6110083896874282,0.31867919421567487,0.6761776955572801,0.5750249042148885
frozenset({'Tokyo Ghoul'}),frozenset({'Shingeki no Kyojin'}),0.2375845844348014,0.4055730127853426,0.19064957520740852,0.8024492652204339,1.9785568564078642,1.0,0.09429167950683251,3.008983934572248,0.6487029315536949,0.4213175588786421,0.6676619012450267,0.6362619368653617
frozenset({'One Punch Man'}),frozenset({'Shingeki no Kyojin'}),0.18617719919530484,0.4055730127853426,0.14893510898299167,0.7999642793355957,1.972429757694436,1.0,0.07342666139341503,2.971604197691846,0.6057966132863859,0.33633701284072987,0.6634814283891721,0.5835928636163098
frozenset({'Sakurasou no Pet na Kanojo'}),frozenset({'Sword Art Online'}),0.16499576038705172,0.3967280163599182,0.13043044540874857,0.7905078597339783,1.9925687804634813,1.0,0.06497200468259717,2.8796879103627577,0.5965661524362339,0.3024170232450561,0.6527401471522556,0.5596366303950253
